time,turnAngle,speed2d,alpha,alphaTarget,bRight,actorYaw,smState
186.980,0.0,0.0,1.000,1.000,1,-90.2,0
187.008,0.0,0.0,1.000,1.000,1,-90.2,0
187.035,0.0,0.0,1.000,1.000,1,-90.2,0
187.063,0.0,0.0,1.000,1.000,1,-90.2,0
187.092,0.0,0.0,1.000,1.000,1,-90.2,0
187.120,0.0,0.0,1.000,1.000,1,-90.2,0
187.147,0.0,0.0,1.000,1.000,1,-90.2,0
187.174,0.0,0.0,1.000,1.000,1,-90.2,0
187.204,0.0,0.0,1.000,1.000,1,-90.2,0
187.231,0.0,0.0,1.000,1.000,1,-90.2,0
187.260,0.0,0.0,1.000,1.000,1,-90.2,0
187.287,0.0,0.0,1.000,1.000,1,-90.2,0
187.315,0.0,0.0,1.000,1.000,1,-90.2,0
187.343,0.0,0.0,1.000,1.000,1,-90.2,0
187.371,0.0,0.0,1.000,1.000,1,-90.2,0
187.399,0.0,0.0,1.000,1.000,1,-90.2,0
187.426,0.0,0.0,1.000,1.000,1,-90.2,0
187.455,0.0,0.0,1.000,1.000,1,-90.2,0
187.483,0.0,0.0,1.000,1.000,1,-90.2,0
187.510,0.0,0.0,1.000,1.000,1,-90.2,0
187.537,0.0,0.0,1.000,1.000,1,-90.2,0
187.565,0.0,0.0,1.000,1.000,1,-90.2,0
187.594,0.0,0.0,1.000,1.000,1,-90.2,0
187.621,0.0,0.0,1.000,1.000,1,-90.2,0
187.649,0.0,0.0,1.000,1.000,1,-90.2,0
187.678,0.0,0.0,1.000,1.000,1,-90.2,0
187.706,0.0,0.0,1.000,1.000,1,-90.2,0
187.734,0.0,0.0,1.000,1.000,1,-90.2,0
187.761,0.0,0.0,1.000,1.000,1,-90.2,0
187.789,0.0,0.0,1.000,1.000,1,-90.2,0
187.816,0.0,0.0,1.000,1.000,1,-90.2,0
187.843,0.0,0.0,1.000,1.000,1,-90.2,0
187.871,0.0,0.0,1.000,1.000,1,-90.2,0
187.899,0.0,0.0,1.000,1.000,1,-90.2,0
187.926,0.0,0.0,1.000,1.000,1,-90.2,0
187.953,0.0,0.0,1.000,1.000,1,-90.2,0
187.981,0.0,0.0,1.000,1.000,1,-90.2,0
188.011,0.0,0.0,1.000,1.000,1,-90.2,0
188.038,0.0,0.0,1.000,1.000,1,-90.2,0
188.065,0.0,0.0,1.000,1.000,1,-90.2,0
188.093,0.0,0.0,1.000,1.000,1,-90.2,0
188.122,0.0,0.0,1.000,1.000,1,-90.2,0
188.149,0.0,0.0,1.000,1.000,1,-90.2,0
188.177,0.0,0.0,1.000,1.000,1,-90.2,0
188.205,0.0,0.0,1.000,1.000,1,-90.2,0
188.233,0.0,0.0,1.000,1.000,1,-90.2,0
188.261,0.0,0.0,1.000,1.000,1,-90.2,0
188.289,0.0,0.0,1.000,1.000,1,-90.2,0
188.316,0.0,0.0,1.000,1.000,1,-90.2,0
188.344,0.0,0.0,1.000,1.000,1,-90.2,0
188.373,0.0,0.0,1.000,1.000,1,-90.2,0
188.406,0.0,0.0,1.000,1.000,1,-90.2,0
188.436,0.0,0.0,1.000,1.000,1,-90.2,0
188.466,0.0,0.0,1.000,1.000,1,-90.2,0
188.494,0.0,0.0,1.000,1.000,1,-90.2,0
188.521,0.0,0.0,1.000,1.000,1,-90.2,0
188.548,0.0,0.0,1.000,1.000,1,-90.2,0
188.578,0.0,0.0,1.000,1.000,1,-90.2,0
188.605,0.0,0.0,1.000,1.000,1,-90.2,0
188.632,0.0,0.0,1.000,1.000,1,-90.2,0
188.660,0.0,0.0,1.000,1.000,1,-90.2,0
188.693,0.0,0.0,1.000,1.000,1,-90.2,0
188.720,0.0,0.0,1.000,1.000,1,-90.2,0
188.747,0.0,0.0,1.000,1.000,1,-90.2,0
188.775,0.0,0.0,1.000,1.000,1,-90.2,0
188.803,0.0,0.0,1.000,1.000,1,-90.2,0
188.840,0.0,0.0,1.000,1.000,1,-90.2,0
188.869,0.0,0.0,1.000,1.000,1,-90.2,0
188.897,0.0,0.0,1.000,1.000,1,-90.2,0
188.927,0.0,0.0,1.000,1.000,1,-90.2,0
188.954,0.0,0.0,1.000,1.000,1,-90.2,0
188.981,0.0,0.0,1.000,1.000,1,-90.2,0
189.010,0.0,0.0,1.000,1.000,1,-90.2,0
189.039,0.0,0.0,1.000,1.000,1,-90.2,0
189.066,0.0,0.0,1.000,1.000,1,-90.2,0
189.093,0.0,0.0,1.000,1.000,1,-90.2,0
189.120,0.0,0.0,1.000,1.000,1,-90.2,0
189.149,0.0,0.0,1.000,1.000,1,-90.2,0
189.177,0.0,0.0,1.000,1.000,1,-90.2,0
189.204,0.0,0.0,1.000,1.000,1,-90.2,0
189.235,0.0,0.0,1.000,1.000,1,-90.2,0
189.262,0.0,0.0,1.000,1.000,1,-90.2,0
189.290,0.0,0.0,1.000,1.000,1,-90.2,0
189.318,0.0,0.0,1.000,1.000,1,-90.2,0
189.345,0.0,0.0,1.000,1.000,1,-90.2,0
189.374,0.0,0.0,1.000,1.000,1,-90.2,0
189.402,0.0,0.0,1.000,1.000,1,-90.2,0
189.430,0.0,0.0,1.000,1.000,1,-90.2,0
189.459,0.0,0.0,1.000,1.000,1,-90.2,0
189.489,0.0,0.0,1.000,1.000,1,-90.2,0
189.518,0.0,0.0,1.000,1.000,1,-90.2,0
189.546,0.0,0.0,1.000,1.000,1,-90.2,0
189.575,0.0,0.0,1.000,1.000,1,-90.2,0
189.603,0.0,0.0,1.000,1.000,1,-90.2,0
189.631,0.0,0.0,1.000,1.000,1,-90.2,0
189.658,0.0,0.0,1.000,1.000,1,-90.2,0
189.687,0.0,0.0,1.000,1.000,1,-90.2,0
189.716,0.0,0.0,1.000,1.000,1,-90.2,0
189.744,0.0,0.0,1.000,1.000,1,-90.2,0
189.772,0.0,0.0,1.000,1.000,1,-90.2,0
189.800,0.0,0.0,1.000,1.000,1,-90.2,0
189.829,0.0,0.0,1.000,1.000,1,-90.2,0
189.857,0.0,0.0,1.000,1.000,1,-90.2,0
189.885,0.0,0.0,1.000,1.000,1,-90.2,0
189.915,0.0,0.0,1.000,1.000,1,-90.2,0
189.944,0.0,0.0,1.000,1.000,1,-90.2,0
189.973,0.0,0.0,1.000,1.000,1,-90.2,0
190.001,0.0,0.0,1.000,1.000,1,-90.2,0
190.030,0.0,0.0,1.000,1.000,1,-90.2,0
190.059,0.0,0.0,1.000,1.000,1,-90.2,0
190.088,0.0,0.0,1.000,1.000,1,-90.2,0
190.117,0.0,0.0,1.000,1.000,1,-90.2,0
190.146,0.0,0.0,1.000,1.000,1,-90.2,0
190.175,0.0,0.0,1.000,1.000,1,-90.2,0
190.203,0.0,0.0,1.000,1.000,1,-90.2,0
190.230,0.0,0.0,1.000,1.000,1,-90.2,0
190.259,0.0,0.0,1.000,1.000,1,-90.2,0
190.289,0.0,0.0,1.000,1.000,1,-90.2,0
190.316,0.0,0.0,1.000,1.000,1,-90.2,0
190.344,0.0,0.0,1.000,1.000,1,-90.2,0
190.372,0.0,0.0,1.000,1.000,1,-90.2,0
190.399,0.0,0.0,1.000,1.000,1,-90.2,0
190.427,0.0,0.0,1.000,1.000,1,-90.2,0
190.455,0.0,0.0,1.000,1.000,1,-90.2,0
190.485,0.0,0.0,1.000,1.000,1,-90.2,0
190.513,0.0,0.0,1.000,1.000,1,-90.2,0
190.541,0.0,0.0,1.000,1.000,1,-90.2,0
190.569,0.0,0.0,1.000,1.000,1,-90.2,0
190.597,0.0,0.0,1.000,1.000,1,-90.2,0
190.625,0.0,0.0,1.000,1.000,1,-90.2,0
190.653,0.0,0.0,1.000,1.000,1,-90.2,0
190.680,0.0,0.0,1.000,1.000,1,-90.2,0
190.710,0.0,0.0,1.000,1.000,1,-90.2,0
190.738,0.0,0.0,1.000,1.000,1,-90.2,0
190.766,0.0,0.0,1.000,1.000,1,-90.2,0
190.794,0.0,0.0,1.000,1.000,1,-90.2,0
190.822,0.0,0.0,1.000,1.000,1,-90.2,0
190.851,0.0,0.0,1.000,1.000,1,-90.2,0
190.879,0.0,0.0,1.000,1.000,1,-90.2,0
190.908,0.0,0.0,1.000,1.000,1,-90.2,0
190.936,0.0,0.0,1.000,1.000,1,-90.2,0
190.964,0.0,0.0,1.000,1.000,1,-90.2,0
190.991,0.0,0.0,1.000,1.000,1,-90.2,0
191.019,0.0,0.0,1.000,1.000,1,-90.2,0
191.047,0.0,0.0,1.000,1.000,1,-90.2,0
191.074,0.0,0.0,1.000,1.000,1,-90.2,0
191.102,0.0,0.0,1.000,1.000,1,-90.2,0
191.129,0.0,0.0,1.000,1.000,1,-90.2,0
191.158,0.0,0.0,1.000,1.000,1,-90.2,0
191.186,0.0,0.0,1.000,1.000,1,-90.2,0
191.213,0.0,0.0,1.000,1.000,1,-90.2,0
191.242,0.0,0.0,1.000,1.000,1,-90.2,0
191.271,0.0,0.0,1.000,1.000,1,-90.2,0
191.299,0.0,0.0,1.000,1.000,1,-90.2,0
191.327,0.0,0.0,1.000,1.000,1,-90.2,0
191.354,0.0,0.0,1.000,1.000,1,-90.2,0
191.388,0.0,0.0,1.000,1.000,1,-90.2,0
191.420,0.0,0.0,1.000,1.000,1,-90.2,0
191.447,0.0,0.0,1.000,1.000,1,-90.2,0
191.475,0.0,0.0,1.000,1.000,1,-90.2,0
191.503,0.0,0.0,1.000,1.000,1,-90.2,0
191.530,0.0,0.0,1.000,1.000,1,-90.2,0
191.558,0.0,0.0,1.000,1.000,1,-90.2,0
191.586,0.0,0.0,1.000,1.000,1,-90.2,0
191.614,0.0,0.0,1.000,1.000,1,-90.2,0
191.642,0.0,0.0,1.000,1.000,1,-90.2,0
191.669,0.0,0.0,1.000,1.000,1,-90.2,0
191.698,0.0,0.0,1.000,1.000,1,-90.2,0
191.726,0.0,0.0,1.000,1.000,1,-90.2,0
191.754,0.0,0.0,1.000,1.000,1,-90.2,0
191.783,0.0,0.0,1.000,1.000,1,-90.2,0
191.811,0.0,0.0,1.000,1.000,1,-90.2,0
191.840,0.0,0.0,1.000,1.000,1,-90.2,0
191.867,0.0,0.0,1.000,1.000,1,-90.2,0
191.895,0.0,0.0,1.000,1.000,1,-90.2,0
191.923,0.0,0.0,1.000,1.000,1,-90.2,0
191.951,0.0,0.0,1.000,1.000,1,-90.2,0
191.979,0.0,0.0,1.000,1.000,1,-90.2,0
192.006,0.0,0.0,1.000,1.000,1,-90.2,0
192.034,0.0,0.0,1.000,1.000,1,-90.2,0
192.062,0.0,0.0,1.000,1.000,1,-90.2,0
192.091,0.0,0.0,1.000,1.000,1,-90.2,0
192.118,0.0,0.0,1.000,1.000,1,-90.2,0
192.146,0.0,0.0,1.000,1.000,1,-90.2,0
192.175,0.0,0.0,1.000,1.000,1,-90.2,0
192.203,0.0,0.0,1.000,1.000,1,-90.2,0
192.231,0.0,0.0,1.000,1.000,1,-90.2,0
192.260,0.0,0.0,1.000,1.000,1,-90.2,0
192.287,0.0,0.0,1.000,1.000,1,-90.2,0
192.315,0.0,0.0,1.000,1.000,1,-90.2,0
192.342,0.0,0.0,1.000,1.000,1,-90.2,0
192.370,0.0,0.0,1.000,1.000,1,-90.2,0
192.398,0.0,0.0,1.000,1.000,1,-90.2,0
192.425,0.0,0.0,1.000,1.000,1,-90.2,0
192.452,0.0,0.0,1.000,1.000,1,-90.2,0
192.480,0.0,0.0,1.000,1.000,1,-90.2,0
192.509,0.0,0.0,1.000,1.000,1,-90.2,0
192.536,0.0,0.0,1.000,1.000,1,-90.2,0
192.563,0.0,0.0,1.000,1.000,1,-90.2,0
192.593,0.0,0.0,1.000,1.000,1,-90.2,0
192.621,0.0,0.0,1.000,1.000,1,-90.2,0
192.648,0.0,0.0,1.000,1.000,1,-90.2,0
192.675,0.0,0.0,1.000,1.000,1,-90.2,0
192.703,0.0,0.0,1.000,1.000,1,-90.2,0
192.730,0.0,0.0,1.000,1.000,1,-90.2,0
192.758,0.0,0.0,1.000,1.000,1,-90.2,0
192.785,0.0,0.0,1.000,1.000,1,-90.2,0
192.813,0.0,0.0,1.000,1.000,1,-90.2,0
192.841,0.0,0.0,1.000,1.000,1,-90.2,0
192.868,0.0,0.0,1.000,1.000,1,-90.2,0
192.896,0.0,0.0,1.000,1.000,1,-90.2,0
192.924,0.0,0.0,1.000,1.000,1,-90.2,0
192.952,0.0,0.0,1.000,1.000,1,-90.2,0
192.980,0.0,0.0,1.000,1.000,1,-90.2,0
193.008,0.0,0.0,1.000,1.000,1,-90.2,0
193.036,0.0,0.0,1.000,1.000,1,-90.2,0
