time,alpha,aTgt,bR,bF,engR,engL,tR_n,tL_n,hR_n,hL_n,nx,ny
160.086,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.9,-1.00,0.00
160.126,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.9,-1.00,0.00
160.157,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12035.0,-1.00,0.00
160.188,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12035.0,-1.00,0.00
160.219,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12035.0,-1.00,0.00
160.249,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12035.0,-1.00,0.00
160.282,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12035.0,-1.00,0.00
160.312,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.9,-1.00,0.00
160.343,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.9,-1.00,0.00
160.374,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.9,-1.00,0.00
160.405,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
160.436,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.7,-1.00,0.00
160.468,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.7,-1.00,0.00
160.499,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.6,-1.00,0.00
160.531,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.6,-1.00,0.00
160.562,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
160.594,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
160.626,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
160.659,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
160.695,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
160.726,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
160.758,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
160.789,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
160.821,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
160.855,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.6,-1.00,0.00
160.888,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.6,-1.00,0.00
160.919,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.6,-1.00,0.00
160.952,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.7,-1.00,0.00
160.984,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.7,-1.00,0.00
161.034,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.7,-1.00,0.00
161.066,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.097,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.128,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.159,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.189,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.221,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.251,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.283,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.313,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.344,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.8,-1.00,0.00
161.374,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.7,-1.00,0.00
161.405,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.7,-1.00,0.00
161.435,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.7,-1.00,0.00
161.466,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.7,-1.00,0.00
161.500,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.6,-1.00,0.00
161.531,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.6,-1.00,0.00
161.561,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.5,-1.00,0.00
161.611,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.4,-1.00,0.00
161.645,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.4,-1.00,0.00
161.682,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.3,-1.00,0.00
161.732,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
161.771,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
161.810,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.1,-1.00,0.00
161.848,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.1,-1.00,0.00
161.893,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.0,-1.00,0.00
161.943,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
161.977,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.007,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.039,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.074,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.106,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.138,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.170,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.201,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.233,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.0,-1.00,0.00
162.265,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.0,-1.00,0.00
162.299,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.0,-1.00,0.00
162.331,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.1,-1.00,0.00
162.362,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.1,-1.00,0.00
162.393,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.1,-1.00,0.00
162.425,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
162.459,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
162.489,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
162.519,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
162.550,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.3,-1.00,0.00
162.580,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.3,-1.00,0.00
162.611,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.3,-1.00,0.00
162.642,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.3,-1.00,0.00
162.672,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
162.702,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
162.733,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
162.764,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
162.794,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.1,-1.00,0.00
162.828,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.1,-1.00,0.00
162.860,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.0,-1.00,0.00
162.891,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.0,-1.00,0.00
162.924,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.955,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.9,-1.00,0.00
162.986,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.8,-1.00,0.00
163.017,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.8,-1.00,0.00
163.049,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.7,-1.00,0.00
163.080,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.6,-1.00,0.00
163.111,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.6,-1.00,0.00
163.142,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.5,-1.00,0.00
163.173,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.4,-1.00,0.00
163.203,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.4,-1.00,0.00
163.234,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.3,-1.00,0.00
163.265,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.3,-1.00,0.00
163.296,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.2,-1.00,0.00
163.326,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.1,-1.00,0.00
163.359,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.1,-1.00,0.00
163.391,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.0,-1.00,0.00
163.423,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.0,-1.00,0.00
163.456,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.9,-1.00,0.00
163.488,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.9,-1.00,0.00
163.519,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.9,-1.00,0.00
163.549,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.8,-1.00,0.00
163.581,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.8,-1.00,0.00
163.581,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.8,-1.00,0.00
163.581,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.8,-1.00,0.00
163.581,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.8,-1.00,0.00
163.581,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.8,-1.00,0.00
163.581,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.8,-1.00,0.00
163.581,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12032.8,-1.00,0.00
163.605,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12051.2,-1.00,0.00
163.655,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12049.1,-1.00,0.00
163.691,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12045.8,-1.00,0.00
163.727,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12042.2,-1.00,0.00
163.759,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12038.6,-1.00,0.00
163.791,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.6,-1.00,0.00
163.823,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12030.7,-1.00,0.00
163.854,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12026.9,-1.00,0.00
163.888,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12023.2,-1.00,0.00
163.918,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12020.7,-1.00,0.00
163.951,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12018.5,-1.00,0.00
163.981,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12016.9,-1.00,0.00
164.011,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12015.7,-1.00,0.00
164.044,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12014.9,-1.00,0.00
164.075,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12014.4,-1.00,0.00
164.106,1.00,1.00,1,1,1.00,0.00,12002.8,12012.0,12003.0,12012.9,-1.00,0.00
164.139,1.00,1.00,1,1,1.00,0.27,12002.6,12016.6,12002.8,12007.6,-1.00,0.00
164.173,1.00,1.00,1,1,1.00,0.46,12002.6,12017.4,12002.6,12010.2,-1.00,0.00
164.205,1.00,1.00,1,1,1.00,0.60,12002.5,12016.4,12002.6,12012.7,-1.00,0.00
164.237,1.00,1.00,1,1,1.00,0.70,12002.5,12014.6,12002.5,12012.6,-1.00,0.00
164.271,1.00,1.00,1,1,1.00,0.78,12002.5,12012.3,12002.5,12011.5,-1.00,0.00
164.303,1.00,1.00,0,1,1.00,0.84,12002.5,12010.4,12002.5,12010.0,-1.00,0.00
164.336,1.00,1.00,0,1,1.00,0.88,12002.5,12008.7,12002.5,12009.1,-1.00,0.00
164.368,1.00,1.00,0,1,1.00,0.91,12002.5,12007.3,12002.5,12007.6,-1.00,0.00
164.399,1.00,1.00,0,1,1.00,0.93,12002.5,12006.3,12002.5,12006.3,-1.00,0.00
164.431,1.00,1.00,0,1,1.00,0.95,12002.5,12005.4,12002.5,12005.4,-1.00,0.00
164.462,1.00,1.00,0,1,1.00,0.96,12002.5,12004.7,12002.5,12004.8,-1.00,0.00
164.494,1.00,1.00,0,1,1.00,0.97,12002.5,12004.2,12002.5,12004.4,-1.00,0.00
164.525,1.00,1.00,0,1,1.00,0.98,12002.5,12003.8,12002.5,12004.0,-1.00,0.00
164.556,1.00,1.00,0,1,1.00,0.98,12002.5,12003.5,12002.5,12003.6,-1.00,0.00
164.587,1.00,1.00,0,1,1.00,0.99,12002.5,12003.2,12002.5,12003.3,-1.00,0.00
164.620,1.00,1.00,0,1,1.00,0.99,12002.5,12003.0,12002.5,12003.1,-1.00,0.00
